timestamp,event_type,window_id,trigger,mode,details,gate_failed,state_snapshot_json
2026-04-19 12:53:10.722,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:53:10.957,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:53:38.581,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:53:41.014,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:53:43.588,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:53:44.028,CHAINLINK_STALE,,chainlink,,RPC timeout attempt 1/3,,{}
2026-04-19 12:53:46.031,WS_RECONNECT,,polymarket,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:53:51.979,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:53:52.294,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:54:09.847,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:54:12.400,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:54:14.105,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:54:14.749,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:54:20.857,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:54:23.706,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:54:24.890,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:54:35.177,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:54:35.682,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:54:35.827,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:54:44.827,WS_RECONNECT,,hyperliquid,,connected,,{}
2026-04-19 12:54:46.346,WS_RECONNECT,,polymarket,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:54:49.197,WS_RECONNECT,,polymarket,,connected,,{}
2026-04-19 12:55:43.506,WS_HEARTBEAT_TIMEOUT,,polymarket,,No pong received within 3 seconds,,{}
2026-04-19 12:55:43.850,WS_HEARTBEAT_TIMEOUT,,hyperliquid,,No pong received within 3 seconds,,{}
2026-04-19 12:55:48.510,WS_RECONNECT,,polymarket,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:55:48.973,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 1/5, delay 1s",,{}
2026-04-19 12:55:50.106,CHAINLINK_STALE,,chainlink,,RPC timeout attempt 1/3,,{}
2026-04-19 12:55:59.533,WS_RECONNECT,,polymarket,,"Reconnecting attempt 2/5, delay 2s",,{}
2026-04-19 12:56:00.008,WS_RECONNECT,,hyperliquid,,"Reconnecting attempt 2/5, delay 2s",,{}
2026-04-19 12:56:02.033,CHAINLINK_STALE,,chainlink,,RPC timeout attempt 2/3,,{}
2026-04-19 12:56:11.548,WS_RECONNECT,,polymarket,,"Reconnecting attempt 3/5, delay 4s",,{}
